Wavelength,Excitation,Emission
325,0.28069,0
326,0.28726,0
327,0.29471,0
328,0.30246,0
329,0.3117,0
330,0.32133,0
331,0.33167,0
332,0.34288,0
333,0.35489,0
334,0.36766,0
335,0.38042,0
336,0.39391,0
337,0.40846,0
338,0.42267,0
339,0.43758,0
340,0.45333,0
341,0.46972,0
342,0.48729,0
343,0.50325,0
344,0.52215,0
345,0.53945,0
346,0.55736,0
347,0.57632,0
348,0.59383,0
349,0.61209,0
350,0.63072,0
351,0.64916,0
352,0.66805,0
353,0.68586,0
354,0.70407,0
355,0.72341,0
356,0.74173,0
357,0.76069,0
358,0.78039,0
359,0.80457,0
360,0.83127,0
361,0.85638,0
362,0.871,0
363,0.872,0
364,0.8775,0
365,0.88809,0
366,0.90516,0
367,0.92093,0
368,0.93604,0
369,0.94659,0
370,0.95481,0
371,0.96165,0
372,0.96723,0
373,0.97333,0
374,0.97956,0
375,0.98404,0
376,0.98855,0
377,0.99339,0
378,0.99771,0
379,0.9997,0
380,1,0.00459
381,0.99921,0.0044
382,0.99795,0.0042
383,0.99169,0.00867
384,0.98444,0.01016
385,0.97164,0.01492
386,0.95694,0.01441
387,0.93957,0.02656
388,0.91864,0.02783
389,0.89567,0.03765
390,0.87285,0.04549
391,0.84886,0.06635
392,0.82447,0.07609
393,0.79872,0.09767
394,0.77547,0.12347
395,0.75215,0.1477
396,0.72987,0.18427
397,0.70927,0.21762
398,0.68713,0.25379
399,0.66484,0.2873
400,0.64322,0.32939
401,0.62125,0.3746
402,0.59806,0.41145
403,0.57374,0.44438
404,0.54722,0.47338
405,0.51806,0.51506
406,0.48814,0.52731
407,0.45647,0.56442
408,0.42448,0.58435
409,0.39088,0.60752
410,0.35831,0.62503
411,0.3262,0.65312
412,0.29573,0.66233
413,0.26765,0.67542
414,0.24143,0.69463
415,0.21882,0.71186
416,0.19842,0.73217
417,0.18101,0.74781
418,0.16688,0.7467
419,0.15518,0.76753
420,0.14522,0.77948
421,0.13626,0.79649
422,0.1275,0.79638
423,0.12263,0.81949
424,0.11747,0.82682
425,0.11348,0.83698
426,0,0.8552
427,0,0.87105
428,0,0.87432
429,0,0.88904
430,0,0.90289
431,0,0.93278
432,0,0.93038
433,0,0.95251
434,0,0.95898
435,0,0.96522
436,0,0.97147
437,0,0.98832
438,0,0.99562
439,0,0.99823
440,0,1
441,0,0.9973
442,0,0.99787
443,0,0.99789
444,0,0.98517
445,0,0.98552
446,0,0.96462
447,0,0.96844
448,0,0.95511
449,0,0.94375
450,0,0.93194
451,0,0.92203
452,0,0.91056
453,0,0.89065
454,0,0.89621
455,0,0.86848
456,0,0.86285
457,0,0.84627
458,0,0.82848
459,0,0.80994
460,0,0.80445
461,0,0.76968
462,0,0.75809
463,0,0.75053
464,0,0.72907
465,0,0.70682
466,0,0.69227
467,0,0.66846
468,0,0.65955
469,0,0.63204
470,0,0.62533
471,0,0.59912
472,0,0.5779
473,0,0.55869
474,0,0.53728
475,0,0.5243
476,0,0.50092
477,0,0.48422
478,0,0.46792
479,0,0.46317
480,0,0.44077
481,0,0.42301
482,0,0.41612
483,0,0.3997
484,0,0.38211
485,0,0.37035
486,0,0.3635
487,0,0.34935
488,0,0.33886
489,0,0.3393
490,0,0.32086
491,0,0.31655
492,0,0.30302
493,0,0.29798
494,0,0.28841
495,0,0.28004
496,0,0.27192
497,0,0.26562
498,0,0.25377
499,0,0.24706
500,0,0.24202
501,0,0.23009
502,0,0.22709
503,0,0.22137
504,0,0.21078
505,0,0.20875
506,0,0.20173
507,0,0.19532
508,0,0.1913
509,0,0.18441
510,0,0.17663
511,0,0.17345
512,0,0.17079
513,0,0.16527
514,0,0.16214
515,0,0.1507
516,0,0.14985
517,0,0.14411
518,0,0.13736
519,0,0.13426
520,0,0.13417
521,0,0.12814
522,0,0.12047
523,0,0.12307
524,0,0.11649
525,0,0.1122
526,0,0.109
527,0,0.10784
528,0,0.10228
529,0,0.09792
530,0,0.09555
531,0,0.09377
532,0,0.09214
533,0,0.0881
534,0,0.08511
535,0,0.0821
536,0,0.07824
537,0,0.07858
538,0,0.07445
539,0,0.07591
540,0,0.07025
